Block Height,Timestamp,Tx ID,Inputs,Outputs,Total Output ,Fee 
133,2011-10-13 03:07:53,b82c767d07eb482e0f92d94855d586de1e30302369724b1ab8673ea7d7d790c5,0,1,50.0,0.0
134,2011-10-13 03:07:54,ff278ef86a266e3243c3198b95013a85910e605eebb9b102594a2341d23c00b8,0,1,50.0,0.0
135,2011-10-13 03:07:58,54ec7886fcc7f5250bd1c1f35b103c505d71de3c52c2dce4062e1e02bbc7828b,0,1,50.0,0.0
136,2011-10-13 03:08:02,63a8e17d656db0efc50406110e944f81fdf7591bc45888aed4dc2830ad93a365,0,1,50.0,0.0
137,2011-10-13 03:08:03,8215a4953ec32e516029b1902bec1c1c924fb22b06a077b82419d5d4820f5759,0,1,50.0,0.0
138,2011-10-13 03:08:08,4ca041df427126388d194ae7a0ac4cb0524578b09401be929e3269593b84c974,0,1,50.0,0.0
139,2011-10-13 03:08:11,5e378b2d3efc1065a8666e04965bc2dae8503b1cfc022691930f602df72fda06,0,1,50.0,0.0
140,2011-10-13 03:08:16,3f99721c230bf01e153e42f327e8225c6eb4c5561e0a87b0e20e24b1de9cd8ef,0,1,50.0,0.0
141,2011-10-13 03:08:18,c771a6a8fdeff6a221ec21906d01500512e582a32c3eee5b6546902436a65f5c,0,1,50.0,0.0
142,2011-10-13 03:08:22,fe8788693cf9a5f79647cbcb3b7895264676997403bb76fb38416f22416279b1,0,1,50.0,0.0
143,2011-10-13 03:08:26,b60771c4c220426da5665e4ab81a3b00c0ae1e1fa46bf8b2e2b5bcfb9c9958ad,0,1,50.0,0.0
144,2011-10-13 03:08:29,b63ecb0727f1887758f3e5a13a17655ce8bc545797e35b76219824e6e93b50cf,0,1,50.0,0.0
145,2011-10-13 03:08:34,78016514a3816eb05835499095bcf8301ff03478a980e13d34f59d437b252d07,0,1,50.0,0.0
146,2011-10-13 03:08:37,f4c876d6ec15e9f1e428126f24e9201fd7b12c00dcf252822a8d7e7d094e35e6,0,1,50.0,0.0
147,2011-10-13 03:08:41,b2064865f914bfca103268cd7d63b19008aecb769712324bf6bb565d0b299d2c,0,1,50.0,0.0
148,2011-10-13 03:08:44,19a167b2b21f110ba211b8f79320655a51b3146e6eac5ab158695b913e0df612,0,1,50.0,0.0
149,2011-10-13 03:08:46,ed419526d6e2536e168f26312ea0f0eb70be245f5543f26bbea75c601f414daf,0,1,50.0,0.0
150,2011-10-13 03:08:47,0608107f9a1cfc5186fb208e885ce95a40f93cd23a91a4e600252b4952730c4c,0,1,50.0,0.0
151,2011-10-13 03:08:51,3ac9a39b0b322ac6e963ace3d32e139c0dc7d619dd253d1c7dc257b2510d28f5,0,1,50.0,0.0
152,2011-10-13 03:08:53,b9c60126a68ffb7ef2741dd9b4ca3d9dd44385e2170909b58b4daefe15d41a0b,0,1,50.0,0.0
153,2011-10-13 03:08:56,e1e7c548382ad300d680facf51f77c7cb659d0775b85210b720edc55d2e1733f,0,1,50.0,0.0
154,2011-10-13 03:08:57,2e86225033adec8205b2029b7cad4a58112db03adfe6cca4051e1490ca57cde5,0,1,50.0,0.0
155,2011-10-13 03:09:04,7458f7315d8173ba0b7a4f604c2d39482748f90942c5f396360b9b51d532d44e,0,1,50.0,0.0
156,2011-10-13 03:09:05,366484ceb13229086a5765c8217a683b783f7189e9ccab8afb6515966267a03d,0,1,50.0,0.0
157,2011-10-13 03:09:07,916f863fe7bf0e6ad44d01992ed98f6e57c7372e7e1ab9460c47f196d504c30d,0,1,50.0,0.0
158,2011-10-13 03:09:10,1ed98b8fa9159920466ed671a835f81a79a6b618074d75f0302e20155ff4e850,0,1,50.0,0.0
159,2011-10-13 03:09:14,c49fdddfd38448a45c2cca1643cf09ecbf6fb874cdea1863cf1536017682fff8,0,1,50.0,0.0
160,2011-10-13 03:09:18,9cb84bb27f0684469fcca275d8afab76e5ddae83a25f6d0f338b84e4f71f70bd,0,1,50.0,0.0
161,2011-10-13 03:09:21,3132a79591857ea814d0431ca90e46874118bc5cf955545fd1b5192beb0e265e,0,1,50.0,0.0
162,2011-10-13 03:09:21,34b74a1fa16bf7d915127dd23112f169a5e553aa2d38c9cb9f44ceb82272fc52,0,1,50.0,0.0
