Height,Timestamp,Size (bytes),Hash,Difficulty
74,2011-10-13 03:04:44,215,a66c2a2b7fd12c2101c8d8cf07e169d627d37b22be312d9e4c6ab99b7457ce23,504365040
75,2011-10-13 03:04:46,215,d45e6ea18a6496f3763f7d53bbe5c10987c2c7b231bcd034c2a079532c989560,504365040
76,2011-10-13 03:04:49,215,e919c98af5ef7740fe2bfefcc8280da211114021be413e7808e9cc628ac4b144,504365040
77,2011-10-13 03:04:56,215,fe21032d2b63ecc938cddcb480ba260507791cd45a2c65dd3d18158eae2cd2c8,504365040
78,2011-10-13 03:04:57,215,cb8b5ff3d3737e8e4b1dc68fa84692ea9ec061a73766eb5e6e477897d2c10ac3,504365040
79,2011-10-13 03:04:59,215,62f4d17c450bdc052df2bbda2ce4a434741e7ed10bb49663137a5c5391e2ee7e,504365040
80,2011-10-13 03:05:02,215,8ded43758a675412cf5539f8e45c229f105105c28fe7ee6c674c25097c393e26,504365040
81,2011-10-13 03:05:04,215,732597350f95efffd09193c8303d770b53e69c063ed6c1d3ca86000ea1a3fd5a,504365040
82,2011-10-13 03:05:10,215,27a41dd1fce86ed06c9872d68f6af684a7c5ff8472f97d908ffacfe21fa59092,504365040
83,2011-10-13 03:05:11,215,42946a01e43ea89ed4554ce00d4c4459a4ffe74aecbcb4d9021b6d35c753983f,504365040
84,2011-10-13 03:05:16,215,c928cc5794698de0ba036924bdd20d2f6cd6e3698fe1709d4c140f8e8af52f56,504365040
85,2011-10-13 03:05:19,215,e68f3196e26b3e9c0a819d1e70e41e5f11efc3a8cf9bd78048b966fd8d1f5a9e,504365040
86,2011-10-13 03:05:23,215,26e75b8142dfe6ed70ea7a52eabf534a26e501ae94d7f175b2b8e62f309f0ca0,504365040
87,2011-10-13 03:05:26,215,1f19010caee8bb8882386a8d5e0731dcc3b171dcb0c4ba021a76b310b9e28f7a,504365040
88,2011-10-13 03:05:28,215,ce1ca8767eab907fb920a22758116596803849b536068f9fd0f484ddbfff02e2,504365040
89,2011-10-13 03:05:31,215,12375ee737a74ae30459182752ff7f89407aabb9fa895ac51ea4d5987882cd42,504365040
90,2011-10-13 03:05:36,215,2498ae6a43121186968fe314156c48a5b5dfa641cc6917d4d96f5ddf4c871a53,504365040
91,2011-10-13 03:05:37,215,5711dc83e8a36c6f9b510cd0f9207362495b8846136cfd4158bb8aed472f2cd6,504365040
92,2011-10-13 03:05:38,215,6f693861434c3ccccfa6ef0b73ab036f1cf5134aa603574be45d32d1df266803,504365040
93,2011-10-13 03:05:42,215,b540a013af7324f3c8567ea690ff2f53007d27bf0f597cc83d16761784b499ee,504365040
94,2011-10-13 03:05:44,215,dc83acbeb1bb95407a6290ceb5af13ae5d4cd24d76fcc3293bcb3aca243b385b,504365040
95,2011-10-13 03:05:48,215,f2b6232790b62cd3f7446b7ec57efba6ee8e6917fd14c9290e5b5a4efc6a77b4,504365040
96,2011-10-13 03:05:53,215,5977c296af8f4abaf911ed14d56b060b506541a9df389c05d5017a0a41364e21,504365040
97,2011-10-13 03:05:58,215,524a9b19473049c8f34cba44305181f539127d1f08a965a7247a9fda9fadc0c3,504365040
98,2011-10-13 03:06:02,215,e13680118c29ff99d883e66b0dda69a9688abc4418496c04a90045a340259c02,504365040
99,2011-10-13 03:06:03,215,08acdac54e2c07cf37fb9839f765956656a166f519485d0bd9f0f4304b0b04fb,504365040
100,2011-10-13 03:06:06,215,97ea5cb96baa9448d494eb083a7b1b6884e99a89522d89150e0b4378c742a6da,504365040
101,2011-10-13 03:06:07,215,4267a473cec9a1c30d09cbaa160c21d40fd4f2d88a3ca47d6b6d8dc252d0b3ae,504365040
102,2011-10-13 03:06:12,215,7e3a2ae01730cc2a2f5fe9fc90c3cb8d10cc13a7b6e69aa33c3c4858580dac68,504365040
103,2011-10-13 03:06:19,215,19f9a6a2e2eed6c9b3f93078d37d61a163219597e936f5eae12dfef6be21517d,504365040
104,2011-10-13 03:06:21,215,28721bfb943e9ddd5b655f3267dc5dc3a3044097a05505a23da4aa4b412bed1a,504365040
105,2011-10-13 03:06:23,215,09a1808fcf41bdd6d6eebc3eed2f120a2940350dcd439ef940270257e9b95c3b,504365040
106,2011-10-13 03:06:29,215,49b7be19a3cf41dd473e2ae0c8a500468f5433696f5cd5c457c4fe0935683445,504365040
107,2011-10-13 03:06:30,215,64b4d1bc5f7663bee4c92ee373c54c045859eff9b0ac4ee59bf941f119fb2eb6,504365040
108,2011-10-13 03:06:32,215,834c69d019749f5f7a2b19abfeb45b967d87b5dcb1ed8289a30d1fbf7403330d,504365040
109,2011-10-13 03:06:39,216,3229834102c57337cbd2f1935584533b6c87efc92f88d7945ac229899d662ef0,504365040
110,2011-10-13 03:06:43,215,53f2fe4e3adbefcc135ff5247002216141fd9acedcd03df80be9743e9719344f,504365040
111,2011-10-13 03:06:44,215,0f07ae19d6e949ff84e0745e854351030cee83781b9d367d7025d31bd015002d,504365040
112,2011-10-13 03:06:48,215,919d53434a8f3ad9d34cafc0622483e5b3aa912abed3a51daadfc306ff1fcf78,504365040
113,2011-10-13 03:06:49,215,dc1e1ebea33cd8448a7b28cdb9dc56ea4b56235e738254359ec82313bf8498c3,504365040
114,2011-10-13 03:06:52,215,cea27f13d6d458ba24d5b76d934f0638f2ea3dcf9055841dd5fd39ec4f37b4eb,504365040
115,2011-10-13 03:06:53,215,1531df828639da1172f9aa2710a520177fb1aba286c1b80e1d8b340e69abaaaa,504365040
116,2011-10-13 03:06:57,215,a27c04c9df4eb6f1aeb78b69290dbd435583ca7705455a63e7803a6234bd82b6,504365040
117,2011-10-13 03:06:58,215,4752bd20aae41ddc4443a5469b96909f1ec70435733056fffd06f611dcb389be,504365040
118,2011-10-13 03:07:03,215,516dec336956d3477e1c4f78d0e8868bd6daa3f916b1a37a1a8ba8bed6b29737,504365040
119,2011-10-13 03:07:05,215,010bd4e4fa3638ed347412ddd07941af55f98d21689d7d3dea0de6e3bc777647,504365040
120,2011-10-13 03:07:12,215,d14ea726867c12b7e229325061341b835e33cd69e951d2bf364ee79f3595db2c,504365040
121,2011-10-13 03:07:14,215,9cc596ce47a1ec8f7f8d436dfdc027ac0c06f2d4e1fc4a19d59b70059f6378bb,504365040
122,2011-10-13 03:07:16,215,30df60df8f231cd03ffbb434bebcaaca2af5769fa9f1696775d48a6f7f1ca9aa,504365040
123,2011-10-13 03:07:19,215,58aed11f589df49668a216a03581f093027647c591241660f32dd894f637c3b5,504365040
124,2011-10-13 03:07:20,215,2081bbafbdae95653df580b2ed401c8635170215fb1d646f8a6fcd7ea8581448,504365040
125,2011-10-13 03:07:22,215,f1e9502d218d33f50fe859d44eebb6be6eae56db1067d071d679d29d53d97b35,504365040
126,2011-10-13 03:07:27,215,6bc33e27568e6c4d97788d16ef14fd18851c2c440725d061e40a10da3c1174cb,504365040
127,2011-10-13 03:07:29,215,352c4421ad1f67b7eab781c89e52ef519d208f07f70440e81ed05c8738887da3,504365040
